"Category","MediaType","RelativePath","Name","Extension","Bytes","ModifiedUtc","FullPath"
"backgrounds","image","Content/Map/backgroundwalls1.png","backgroundwalls1.png","png","1451593","2025-06-08T21:11:01.9592827Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\backgroundwalls1.png"
"backgrounds","image","Content/Map/backgroundwalls2.png","backgroundwalls2.png","png","1149933","2025-06-08T21:11:01.9592827Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\backgroundwalls2.png"
"backgrounds","image","Content/Map/backgroundwalls3.png","backgroundwalls3.png","png","2755308","2025-06-08T21:11:01.9602810Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\backgroundwalls3.png"
"backgrounds","image","Content/Map/Biomes/AphoticPlateau/BackgroundChunks.png","BackgroundChunks.png","png","2264184","2025-06-08T21:11:01.9602810Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\AphoticPlateau\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/AphoticPlateau/BackgroundParticles.png","BackgroundParticles.png","png","585128","2025-06-08T21:11:01.9612825Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\AphoticPlateau\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/BioluminescentCave/BackgroundChunks.png","BackgroundChunks.png","png","724434","2025-06-08T21:11:01.9612825Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\BioluminescentCave\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/ColdCaverns/BackgroundChunks.png","BackgroundChunks.png","png","936289","2025-06-08T21:11:01.9622820Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\ColdCaverns\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/ColdCaverns/BackgroundElements1.png","BackgroundElements1.png","png","252329","2025-06-08T21:11:07.5755994Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\ColdCaverns\BackgroundElements1.png"
"backgrounds","image","Content/Map/Biomes/ColdCaverns/BackgroundElements2.png","BackgroundElements2.png","png","447148","2025-06-08T21:11:01.9622820Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\ColdCaverns\BackgroundElements2.png"
"backgrounds","image","Content/Map/Biomes/ColdCaverns/BackgroundParticles.png","BackgroundParticles.png","png","12845","2025-06-08T21:11:12.4438784Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\ColdCaverns\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/CrystalCave/BackgroundChunks.png","BackgroundChunks.png","png","1288563","2025-06-08T21:11:01.9642818Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\CrystalCave\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/EndBiome/BackgroundParticles.png","BackgroundParticles.png","png","1343545","2025-06-08T21:11:01.9652811Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\EndBiome\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/EuropanRidge/BackgroundChunks.png","BackgroundChunks.png","png","2743764","2025-06-08T21:11:01.9652811Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\EuropanRidge\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/EuropanRidge/BackgroundParticles.png","BackgroundParticles.png","png","136441","2025-06-08T21:11:24.4808769Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\EuropanRidge\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/HydrothermalWastes/BackgroundChunks.png","BackgroundChunks.png","png","1155220","2025-06-08T21:11:01.9662812Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\HydrothermalWastes\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/HydrothermalWastes/BackgroundParticles.png","BackgroundParticles.png","png","1702074","2025-06-08T21:11:01.9672812Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\HydrothermalWastes\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/IceCave/BackgroundChunks.png","BackgroundChunks.png","png","498280","2025-06-08T21:11:01.9712886Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\IceCave\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/RockCave/BackgroundChunks.png","BackgroundChunks.png","png","538052","2025-06-08T21:11:01.9722818Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\RockCave\BackgroundChunks.png"
"backgrounds","image","Content/Map/Biomes/TheGreatSea/BackgroundParticles.png","BackgroundParticles.png","png","12845","2025-06-08T21:11:12.4448815Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\TheGreatSea\BackgroundParticles.png"
"backgrounds","image","Content/Map/Biomes/TheGreatSea/GreatSeaBackgroundChunks.png","GreatSeaBackgroundChunks.png","png","1128864","2025-06-08T21:11:01.9732818Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Map\Biomes\TheGreatSea\GreatSeaBackgroundChunks.png"
